Libro,Genero,Autor,Editorial,Paginas,Estado,EsSerie,Serie,Volume
Al final mueren los dos,Contemporaneo,Adam Silvera,Puck,352,Leído,Autoconclusivo,No aplica,
El hijo infinito,Fantasia,Adam Silvera,Puck,316,No leído,Serie,Infinity Cycle,1
Recuerda aquella vez,Contemporaneo,Adam Silvera,Puck,285,No leído,Autoconclusivo,No aplica,
Solo quedó nuestra historia,Contemporaneo,Adam Silvera,Puck,316,No leído,Autoconclusivo,No aplica,
Despues del deshielo,Fantasia,Adrienne Young,EDICIONES URANO S.A.,350,No leído,Serie,Sky in the Deep,1
Matar un reino,Fantasia,Alexandra Christo,Océano Gran Travesía,416,No leído,Autoconclusivo,No aplica,
La hipótesis del amor,Contemporaneo,Ali Hazelwood,Contraluz,488,Leído,Autoconclusivo,No aplica,
La química del amor,Contemporaneo,Ali Hazelwood,Contraluz,480,Leído,Autoconclusivo,No aplica,
La teoría del amor,Contemporaneo,Ali Hazelwood,Contraluz,520,Leído,Autoconclusivo,No aplica,
13 locuras que regalarte,Contemporaneo,Alice Kellen,Puck,432,No leído,Serie,Volver a ti,3
23 Otoños Antes De Ti,Contemporaneo,Alice Kellen,Puck,286,No leído,Serie,Volver a ti,2
33 razones para volver a verte,Contemporaneo,Alice Kellen,Puck,384,No leído,Serie,Volver a ti,1
Heartstopper: Tomo 3,Novela Gráfica,Alice Oseman,V&R Editoras,384,Leído,Serie,Heartstopper,3
Heartstopper: Tomo 4,Novela Gráfica,Alice Oseman,V&R Editoras,384,Leído,Serie,Heartstopper,4
Heartstopper: Tomo 1,Novela Gráfica,Alice Oseman,V&R Editoras,170,Leído,Serie,Heartstopper,1
Nick y Charlie,Contemporaneo,Alice Oseman,V&R Editoras,160,Leído,Autoconclusivo,No aplica,
Heartstopper: Tomo 2,Novela Gráfica,Alice Oseman,V&R Editoras,328,Leído,Serie,Heartstopper,2
En el bosque,Fantasia,Alyssa Wees,EMPRESA EDITORA ZIG ZAG S.A.,310,No leído,Autoconclusivo,No aplica,
Illuminae (Expediente #1),Ciencia Ficción,Amie Kaufman,Alfaguara,585,No leído,Serie,The Illuminae Files,1
El Principito / The Little Prince,Clásico,Antoine De Saint-exupery,Salamandra Infantil y Juvenil,72,Leído,Autoconclusivo,No aplica,
Wink Poppy Midnight,Realismo Mágico,April Genevieve Tucholke,V&R Editoras,248,Leído,Autoconclusivo,No aplica,
Crescendo,Fantasia,Becca Fitzpatrick,Ediciones B,408,Leído,Serie,"Hush, Hush",2
Finale Hush Hush 4 / Hush Hush 4,Fantasia,Becca Fitzpatrick,B DE BOOKS,480,No leído,Serie,"Hush, Hush",4
"Hush, Hush",Fantasia,Becca Fitzpatrick,Ediciones B,368,Leído,Serie,"Hush, Hush",1
Mentiras peligrosas,Misterio,Becca Fitzpatrick,B DE BOOKS,400,No leído,Autoconclusivo,No aplica,
Silencio,Fantasia,Becca Fitzpatrick,Ediciones B,416,Leído,Serie,"Hush, Hush",3
Leah a destiempo,Contemporaneo,Becky Albertalli,Puck,320,No leído,Autoconclusivo,No aplica,
"Sí, no, tal vez",Contemporaneo,Becky Albertalli,EDICIONES URANO S.A.,416,No leído,Autoconclusivo,No aplica,
"Yo, Simon, Homo Sapiens",Contemporaneo,Becky Albertalli,Puck,282,Leído,Autoconclusivo,No aplica,
¿Y si fuéramos nosotros?,Contemporaneo,Becky Albertalli,Puck,384,No leído,Serie,What If It's Us,1
Una sonata de verano,Realismo Mágico,Belen Kaplan,EDICIONES URANO S.A.,280,No leído,Autoconclusivo,No aplica,
El libro de la noche,Fantasia,Black Holly,EDICIONES URANO S.A.,416,No leído,Autoconclusivo,No aplica,
El trono del pricionero,Fantasia,Black Holly,EDICIONES URANO S.A.,384,No leído,Autoconclusivo,No aplica,
