Libro,Autor,Editorial,Paginas,FechaPrimeraPublicacion,Genero,Subgenero,Estado,Tipo
Al final mueren los dos ,Adam Silvera,Puck,352,2017-01-01,Ciencia Ficción,Romance,Leído,Autoconclusivo
El hijo infinito ,Adam Silvera,Puck,316,2020-01-01,Fantasia,Aventura,No leído,Serie
Recuerda aquella vez,Adam Silvera,Puck,285,2015-01-01,Ciencia Ficción,Romance,No leído,Autoconclusivo
Solo quedó nuestra historia,Adam Silvera,Puck,316,2017-01-01,Contemporaneo,Tragedia,No leído,Autoconclusivo
Matar un reino,Alexandra Christo,Océano Gran Travesía,416,2018-01-01,Fantasia,Romance,No leído,Autoconclusivo
"Heartstopper, Tomo 1 ",Alice Oseman,V&R Editoras,288,2018-01-01,Novela Gráfica,Romance,Leído,Serie
"Heartstopper, Tomo 2 ",Alice Oseman,V&R Editoras,328,2019-01-01,Novela Gráfica,Romance,Leído,Serie
"Heartstopper, Tomo 3 ",Alice Oseman,V&R Editoras,384,2020-01-01,Novela Gráfica,Romance,Leído,Serie
"Heartstopper, Tomo 4 ",Alice Oseman,V&R Editoras,368,2021-01-01,Novela Gráfica,Romance,Leído,Serie
En el bosque,Alyssa Wees,EMPRESA EDITORA ZIG ZAG S.A.,310,2019-01-01,Fantasia,Romance,No leído,Autoconclusivo
Illuminae ,Amie Kaufman,Alfaguara,585,2015-01-01,Ciencia Ficción,Distopia,No leído,Serie
Wink Poppy Midnight,April Genevieve Tucholke,V&R Editoras,248,2016-01-01,Realismo Mágico,Misterio,Leído,Autoconclusivo
Crescendo ,Becca Fitzpatrick,Ediciones B,408,2010-01-01,Fantasia,Romance,Leído,Serie
Finale ,Becca Fitzpatrick,B de Blok,480,2012-01-01,Fantasia,Romance,No leído,Serie
"Hush, Hush ",Becca Fitzpatrick,B de Blok,368,2009-01-01,Fantasia,Romance,Leído,Serie
Mentiras Peligrosas,Becca Fitzpatrick,B de Blok,400,2015-01-01,Misterio,Thriller,No leído,Autoconclusivo
Silencio ,Becca Fitzpatrick,Ediciones B,416,2011-01-01,Fantasia,Romance,Leído,Serie
"Yo, Simon, Homo Sapiens",Becky Albertalli,Puck,282,2015-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Redención ,Brandon Sanderson,Nova,208,2013-01-01,Fantasia,Aventura,No leído,Serie
El despertar ,Brandon Sanderson,Ediciones B,184,2011-01-01,Fantasia,Aventura,Leído,Serie
Pointe,Brandy Colbert,V&R Editoras,384,2014-01-01,Contemporaneo,Misterio,No leído,Autoconclusivo
Una última parada,Casey McQuiston,Molino,496,2021-01-01,Ficción,Romance,No leído,Autoconclusivo
"Rojo, blanco y sangre azul",Casey McQuiston,Molino,496,2019-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
Esos ojos,Cathy Hopkins,V&R Editoras,256,2012-01-01,Contemporaneo,Romance,Leído,Autoconclusivo
El príncipe del sol ,Claudia Ramírez Lomelí,Planeta,344,2018-01-01,Fantasia,Aventura,Leído,Serie
"Nunca, nunca ",Colleen Hoover,Planeta,218,2015-01-01,Misterio,Romance,Leído,Serie
"Nunca, nunca 2 ",Colleen Hoover,Planeta,149,2015-01-01,Misterio,Romance,Leído,Serie
"Nunca, nunca 3 ",Colleen Hoover,Planeta,136,2016-01-01,Misterio,Romance,Leído,Serie
Nombre en clave: Verity,Elizabeth Wein,Alfaguara,408,2012-01-01,Fantasia,Misterio,No leído,Serie
Los veraneantes,Emma Straub,B de Blok,296,2014-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
El amor cae del cielo,Esther Sanz,V&R Editoras,304,2020-01-01,Realismo Mágico,Romance,No leído,Autoconclusivo
El bosque de los corazones dormidos ,Esther Sanz,Montena,333,2011-01-01,Fantasia,Romance,No leído,Autoconclusivo
Si el amor es un canto de sirena ,Esther Sanz,V&R Editoras,320,2017-01-01,Realismo Mágico,Romance,Leído,Serie
Si el amor es una isla ,Esther Sanz,V&R Editoras,296,2014-01-01,Realismo Mágico,Romance,Leído,Serie
Noche de luna larga,Gloria V. Casañas,Buenos Aires: Plaza & Janés,272,2016-01-01,Ficción Histórica,Romance,Leído,Autoconclusivo
Mi teoría de todo,J.J.  Johnson,Ediciones SM,333,2012-01-01,Contemporaneo,Romance,No leído,Autoconclusivo
Latidos,Javier Ruescas,Ediciones SM,224,2016-01-01,Contemporaneo,Romance,Leído,Serie
Pulsaciones,Javier Ruescas,Ediciones SM,200,2013-01-01,Contemporaneo,Romance,No leído,Serie
De Sangue e Cinzas ,Jennifer L. Armentrout,Galera,588,2020-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Encuentros de película,Jennifer L. Armentrout,Ediciones SM,352,2018-01-01,Contemporaneo,Romance,No leído,Antología
La estrella más oscura ,Jennifer L. Armentrout,Puck,427,2018-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Oblivion ,Jennifer L. Armentrout,Plataforma Neo,370,2015-01-01,Fantasia,Paranormal,Leído,Serie
Obsidian ,Jennifer L. Armentrout,Plataforma Neo,448,2011-01-01,Fantasia,Paranormal,Leído,Serie
Onyx ,Jennifer L. Armentrout,Plataforma Neo,420,2012-01-01,Fantasia,Paranormal,Leído,Serie
Opal ,Jennifer L. Armentrout,Plataforma Neo,424,2012-01-01,Fantasia,Paranormal,Leído,Serie
Opposition ,Jennifer L. Armentrout,Plataforma Neo,376,2014-01-01,Fantasia,Paranormal,Leído,Serie
Origin ,Jennifer L. Armentrout,Plataforma Neo,408,2013-01-01,Fantasia,Paranormal,Leído,Serie
Shadows ,Jennifer L. Armentrout,Plataforma Neo,250,2012-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
Un reino de carne y fuego ,Jennifer L. Armentrout,Puck,800,2020-01-01,Fantasia,Paranormal,No leído,Autoconclusivo
El destino de Violet y Luke ,Jessica Sorensen,Oz Editorial,297,2014-01-01,Contemporaneo,Romance,No leído,Serie
El secreto de Callie y Kayden ,Jessica Sorensen,Oz Editorial,288,2013-01-01,Contemporaneo,Romance,No leído,Serie
La coincidencia de Callie y Kayden ,Jessica Sorensen,Oz Editorial,336,2012-01-01,Contemporaneo,Romance,No leído,Serie
La justicia de los errantes ,Jorge Díaz,Buenos Aires: Plaza & Janés,419,2012-01-01,Misterio,Thriller,No leído,Autoconclusivo
Ante la bandera,Julio Verne,RBA Coleccionables,211,1896-01-01,Clásico,Aventura,No leído,Autoconclusivo
Aventuras de tres rusos y tres ingleses en el África Austral,Julio Verne,RBA Coleccionables,32,1980-01-01,Clásico,Aventura,No leído,Autoconclusivo
Aventuras de un niño irlandés.,Julio Verne,RBA Coleccionables,381,1893-01-01,Clásico,Aventura,No leído,Autoconclusivo
