Editorial,conteo,porcentaje
RBA Coleccionables,50,0.2110
V&R Editoras,43,0.1814
Puck,24,0.1013
EDICIONES URANO S.A.,12,0.0506
Ediciones B,11,0.0464
Ediciones SM,10,0.0422
Planeta,10,0.0422
Plataforma Neo,8,0.0338
Titania,7,0.0295
B de Blok,7,0.0295
Oz Editorial,6,0.0253
Piatkus Books,5,0.0211
Del Nuevo Extremo,4,0.0169
Debolsillo,4,0.0169
Berkley,3,0.0127
SUDAMERICA,3,0.0127
Alfaguara,3,0.0127
Contraluz,3,0.0127
Sombras,2,0.0084
Urano,2,0.0084
Buenos Aires: Plaza & Janés,2,0.0084
Molino,2,0.0084
EMPRESA EDITORA ZIG ZAG S.A.,1,0.0042
Océano Gran Travesía,1,0.0042
Feiwel & Friends,1,0.0042
Maeva Young,1,0.0042
Montena,1,0.0042
Nova,1,0.0042
Galera,1,0.0042
Baronet Books,1,0.0042
Roca Editorial,1,0.0042
Scholastic Press,1,0.0042
Editorial Planeta Argentina,1,0.0042
Vergara,1,0.0042
Crossbooks,1,0.0042
Laberinto,1,0.0042
Salamandra Infantil y Juvenil,1,0.0042
Umbriel,1,0.0042
