FechaPrimeraPublicacion,Autor,conteo,porcentaje
1811-01-01,Jane Austen,1,0.42
1813-01-01,Jane Austen,1,0.42
1814-01-01,Jane Austen,1,0.42
1817-01-01,Jane Austen,1,0.42
1851-01-01,Julio Verne,1,0.42
1863-01-01,Julio Verne,1,0.42
1864-01-01,Julio Verne,1,0.42
1865-01-01,Julio Verne,4,1.69
1867-01-01,Julio Verne,2,0.84
1869-01-01,Julio Verne,2,0.84
1871-01-01,Julio Verne,1,0.42
1873-01-01,Julio Verne,1,0.42
1876-01-01,Julio Verne,1,0.42
1877-01-01,Julio Verne,3,1.27
1878-01-01,Julio Verne,1,0.42
1879-01-01,Julio Verne,2,0.84
1880-01-01,Julio Verne,1,0.42
1881-01-01,Julio Verne,1,0.42
1882-01-01,Julio Verne,2,0.84
1884-01-01,Julio Verne,2,0.84
1885-01-01,Julio Verne,2,0.84
1886-01-01,Julio Verne,1,0.42
1887-01-01,Julio Verne,1,0.42
1888-01-01,Julio Verne,1,0.42
1889-01-01,Julio Verne,1,0.42
1890-01-01,Julio Verne,2,0.84
1891-01-01,Julio Verne,1,0.42
1892-01-01,Julio Verne,2,0.84
1893-01-01,Julio Verne,1,0.42
1894-01-01,Julio Verne,2,0.84
1895-01-01,Julio Verne,1,0.42
1896-01-01,Julio Verne,1,0.42
1897-01-01,Julio Verne,1,0.42
1899-01-01,Julio Verne,1,0.42
1900-01-01,Julio Verne,1,0.42
1901-01-01,Julio Verne,1,0.42
1903-01-01,Julio Verne,1,0.42
1910-01-01,Julio Verne,2,0.84
1943-01-01,Antoine De Saint-exupery,1,0.42
1977-01-01,Julio Verne,1,0.42
1980-01-01,Julio Verne,1,0.42
1987-01-01,Susan Elizabeth Phillips,1,0.42
2000-01-01,Julia Quinn,2,0.84
2001-01-01,Julia Quinn,1,0.42
2002-01-01,Julia Quinn,1,0.42
2003-01-01,Julia Quinn,1,0.42
2004-01-01,Julia Quinn,1,0.42
2007-01-01,Rachel Cohn,1,0.42
2008-01-01,Julie James,1,0.42
2009-01-01,Becca Fitzpatrick,1,0.42
2010-01-01,Becca Fitzpatrick,1,0.42
2010-01-01,Julie James,1,0.42
2010-01-01,Kiersten White,1,0.42
2010-01-01,S.C. Stephens,1,0.42
2010-01-01,Sophie Jordan,1,0.42
2011-01-01,Brandon Sanderson,2,0.84
2011-01-01,Becca Fitzpatrick,1,0.42
2011-01-01,Esther Sanz,1,0.42
2011-01-01,Jennifer L. Armentrout,1,0.42
2011-01-01,Kiersten White,1,0.42
2011-01-01,Michelle Hodkin,1,0.42
2011-01-01,S.C. Stephens,1,0.42
2011-01-01,V. E. Schwab,1,0.42
2012-01-01,Jennifer L. Armentrout,3,1.27
2012-01-01,Jessica Sorensen,2,0.84
2012-01-01,Becca Fitzpatrick,1,0.42
2012-01-01,Cathy Hopkins,1,0.42
2012-01-01,Elizabeth Wein,1,0.42
2012-01-01,J.J.  Johnson,1,0.42
2012-01-01,Jorge Díaz,1,0.42
2012-01-01,Katharine Ashe,1,0.42
2012-01-01,Maggie Stiefvater,1,0.42
2012-01-01,Marissa Meyer,1,0.42
2012-01-01,Samantha Young,1,0.42
2012-01-01,Sophie Jordan,1,0.42
2013-01-01,Brandon Sanderson,1,0.42
2013-01-01,Javier Ruescas,1,0.42
2013-01-01,Jennifer L. Armentrout,1,0.42
2013-01-01,Jessica Sorensen,1,0.42
2013-01-01,Julie James,1,0.42
2013-01-01,Maggie Stiefvater,1,0.42
2013-01-01,Marissa Meyer,1,0.42
2013-01-01,Melinda Taub,1,0.42
2013-01-01,Samantha Young,1,0.42
2013-01-01,Soman Chainani,1,0.42
2013-01-01,V. E. Schwab,1,0.42
2014-01-01,Brandy Colbert,1,0.42
